 @grishin памагитиии!	 помог
 @glebazarov @volgin @zubov @andrew_kuzmenko приглашаются в новый мердж по фонам блока. открываем дискуссии,критикуем, предлагаем как лучше	 файл backgroundblockcolor.js лучше смотреть весь полностью, так будет действительно понятнее, он небольшой и к тому же я его весь переписал. diff вносит больше непоняток
 @glebazarov @volgin @zubov @andrew_kuzmenko приглашаются в новый мердж по фонам блока. открываем дискуссии,критикуем, предлагаем как лучше	 и пусть при тестировании обратят внимание на зеленый гугл. надо будет посмотреть на оценку без этого скрипта и с ним
 @glebazarov @volgin @zubov @andrew_kuzmenko приглашаются в новый мердж по фонам блока. открываем дискуссии,критикуем, предлагаем как лучше	 <link>
 на ios и ie <code> не работает нормально. предлагаю заменить на foreach, с ним вроде всё ок	 <code> не поддерживается ie. замечание верное, но предлагаю заменить на этот вариант. совместимый со всеми.![image]<link>взято отсюда: <link>
 на ios и ie <code> не работает нормально. предлагаю заменить на foreach, с ним вроде всё ок	 <link>
 нужно добавить логи для статистики. пример [тут]<link>	 дим, это прототип - тут все быстро, только попробовать
 мечты о goto)	 сделайте лучше else, тут ж прям написанно "место для складывания отстреленных конечностей"
 мечты о goto)	 да, потом точно запутаемся
 мечты о goto)	 @grishin исправил, но оно не стало лучше, это всё тот же плохой код, выше в этом свиче есть комментарий что данный код будет рефакториться и прилинкована задача, которая будет в нашем следующем тех спринте
 мечты о goto)	 да, но хотя бы goto не будет)p.s. seo wizard тоже scrum-3 видимо удалят или приведут в порядок в следущем спринте, ага 🤪
 мечты о goto)	 @glebazarov у меня есть задача и я её придерживаюсь=d
 <code> а зачем?	 <code> возвращает строку
 <code> а зачем?	 @grishin
 <code> а зачем?	 number.prototype.tofixed()а потом для явности делаем +amountvat
 <code> а зачем?	 ![wat8]<link>
 <code> а зачем?	 ![image]<link>
 <code> а зачем?	 не понял тебя изначально и не увидел внутреннее использование tofixed в методе)
 <code> а зачем?	 @grishin исправил
 @grishin  @kbubyakin если вы согласны с кодом, то пожалуйста, поставьте лайки	 не согласен, я же выше написал
 а от куда тут язык определяется?	 @kbubyakin  в начале метода определяется ![image]<link>
 а от куда тут язык определяется?	 ага увидел
 можем использовать <code>.	 сделал отдельным обработчиком, т.к. в el приходят разные данные в зависимости от типа события
 можем использовать <code>.	 т.е. для <code>?
 можем использовать <code>.	 скорее, пустой jquery объект. в el там приходит 'desktop', 'tablet' и 'phone', соответственно
 можем использовать <code>.	 новый обработчик выглядит лишним. лучше внутри уже существующих методов забрать правильные ноды.ps. развернул ветку в докере - код не работает. чяднт
 можем использовать <code>.	 перенёс в один обработчик, но всё и предыдущем варианте работало...
 можем использовать <code>.	 толя предлагает вот такую запись:<code>@andrew_kuzmenko @zubov @craneandrey
 можем использовать <code>.	 обсудили этот вариант, он скорее всего  не подойдет, потому что будет сильно аффектитить <code> по-моему будет норм.
 потерялось это условие	 убрал проверку на дублирование из-за того что это не дает актуального времени редактирования,
 лог или хоть коммент написать: почему неважно, что здесь падает	 насколько я понимаю тут хотят пропустить ошибку если файла нет. тогда уж надо добавить проверку на enoent
 лог или хоть коммент написать: почему неважно, что здесь падает	 все верно меня интересуют личь когда есть файл, остальные кейс лесом
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 ты про какой участок кода? идея мне понятна в общем, но где конкретно это можно реализовать.
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 добавил проверку.
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 @volgin
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 @zubov @volgin как можно было этому решению поставить лайк? -_- или это окей по вашему мнению?
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 @amovsunov сядьте с андреем и придумайте как сделать по нормальному с возвращением backgroundblockcolor. @sbereznyak - втык за то что просто взял и переставил задачу с одной команды на другую и не обеспечил обмен знаниями.
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 по-моему мнению лучше вернуть <code>. то, что там @craneandrey закостылил с классами, не окей. но костылить похожее где-то придется, если вот так это делать, или не делать вообще.  :question:
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 я не увидел лучший вариант реализации, поэтому поставил лайк, так как не знаю как реализовать иначе.
 по мне так лучше вернуть backgroundblockcolor. только для случая, когда у пользователя есть различные фоны блока на устройствах.	 александр мовсунов в отпуске, пусть подходят к нам, мы подумаем как сделать лучше, у ребят есть мысли по этому поводу.
 а это точно работает с кастомными колорсхемами?	 я буду честен. вообще не в курсе. как тут вообще все работает. попытаюсь разобраться, но думаю что врятли смогу
 а это точно работает с кастомными колорсхемами?	 добавил обработку кастомных схем.
 @amovsunov этот файл не уехал в модуль?	 нет, уехала только та часть, которая в model/widget.js была. так как сказать адаптер к этому классу.
 што? это вот что за костыль?	 это мутный кусок, согласен. но мне важнее в остальном - в правильно ли направлении сделано.
 што? это вот что за костыль?	 для меня более важный вопрос сейсас, туда ли я зашел вообще
 што? это вот что за костыль?	 проглядел мельком, но судя по вот этому это проблема шаблона, а не кода. то есть там в tpl шаблон возможно неправильно собрался, я вот прям такой +1 индекса колорсхемы втыкал на фронте tpl.
 што? это вот что за костыль?	 @glebazarov это точно проблема шаблона? я тогда не буду морочить голову и портить вам код. и переставлю баг на верстальню
 што? это вот что за костыль?	 написал отдельно еще стасу чтоб подтвердил. спасибо за наводку
 што? это вот что за костыль?	 да просто как бе проверьте на другом шаблоне, пока ход повторения бага из задачи как-то не очень ясен.@matyushina
 што? это вот что за костыль?	 @glebazarov не шаблон, отписала в задаче ход повторения
 што? это вот что за костыль?	 раньше задачу переключение фонов блока выполнял срипт <code>. по ходу переделок его выпилили, а функционал продублировать забыли. теперь могу предложить только два варианта:1. вернуть скрипт2. добавить функционал переключения фонов на разных устройствах в мобильный холст (что тут и сделано в виде черновика)
 што? это вот что за костыль?	 @glebazarov если есть конкретные соображения как это нужно делать, отпиши пожалуйста. чтоб потом по результатам код ревью не переделывать
 😱	 это типа нормально, иначе debug="gigafactory:*" не включит этот лог.![image]<link>
 а что будет если тут ничего не указывать? типа промопульту мы единоразово заносим на счёт и всё, дальше только у них опять зайти и нажать кнопочку, поэтому по идее там не нужны <code>. от их отсутствия ничего не взорвётся?	 ответственно заявляю, dateto - нужно. как минимум, для статистики
 а что будет если тут ничего не указывать? типа промопульту мы единоразово заносим на счёт и всё, дальше только у них опять зайти и нажать кнопочку, поэтому по идее там не нужны <code>. от их отсутствия ничего не взорвётся?	 въебем 100лет
 ну выглядит более-менее понятно, вопросов не имею	 так, а если нам надо создать такой инвойс - то просто тупо создаём с нужным __t, подкладываем id и погнали в форму оплаты?
